Energy,βiso,Difference,βzz,βxx,βyy
270.2,0.00018172890002867648,-0.0,0.00018192103298585692,0.00018183455499513993,0.00018183455499513993
270.22,0.00018172663274317646,-0.0,0.00018189613446089985,0.0001818305981561267,0.0001818305981561267
270.24,0.00018172176357495666,-0.0,0.00018187123843643304,0.00018182284565626983,0.00018182284565626983
270.26,0.0001817161557147487,-0.0,0.0001818463449248268,0.0001818116017168709,0.0001818116017168709
270.28,0.0001817100621663232,-0.0,0.0001818214539384324,0.0001817972807792656,0.0001817972807792656
270.3,0.00018170246800970142,-0.0,0.00018179656548960883,0.00018178036594773559,0.00018178036594773559
270.32,0.0001816925463807299,-0.0,0.0001817716795907108,0.00018176136560698336,0.00018176136560698336
270.34,0.00018168108024526475,-0.0,0.00018174679625410604,0.00018174077443048917,0.00018174077443048917
270.36,0.00018166913767934446,-0.0,0.0001817219154921449,0.00018171904306758896,0.00018171904306758896
270.38,0.00018165677236247542,-0.0,0.0001816970373171899,0.00018169655834913363,0.00018169655834913363
270.4,0.00018164304975712097,-0.0,0.00018167216174159399,0.00018167363362367814,0.00018167363362367814
270.42,0.00018162723310864696,-0.0,0.00018164728877772054,0.00018165050734371543,0.00018165050734371543
270.44,0.0001816100357234027,-0.0,0.00018162241843792774,0.00018162734743413025,0.00018162734743413025
270.46,0.00018159242301777148,-0.0,0.00018159755073457115,0.00018160425914296252,0.00018160425914296252
270.48,0.00018157450567520125,-0.0,0.00018157450567520125,0.00018158129466213307,0.00018158129466213307
270.5,0.00018155564646341196,-0.0,0.00018155564646341196,0.0001815584634583343,0.0001815584634583343
270.52,0.00018153534545738823,-0.0,0.00018153534545738823,0.00018153574272755185,0.00018153574272755185
270.54,0.00018151410152680988,-0.0,0.00018151410152680988,0.00018151308759973086,0.00018151308759973086
270.56,0.00018149258107109906,-0.0,0.00018149258107109906,0.00018149044073187816,0.00018149044073187816
270.58,0.0001814708965035466,-0.0,0.0001814708965035466,0.00018146774086684567,0.00018146774086684567
270.6,0.00018144872917202017,-0.0,0.00018144872917202017,0.00018144492992186416,0.00018144492992186416
270.62,0.00018142582812042906,-0.0,0.00018142582812042906,0.00018142195826714467,0.00018142195826714467
270.64,0.0001814024500960043,-0.0,0.0001814024500960043,0.0001813987880508203,0.0001813987880508203
270.66,0.00018137893022371598,-0.0,0.00018137893022371598,0.0001813753946627546,0.0001813753946627546
270.68,0.00018135530071430238,-0.0,0.00018135530071430238,0.00018135176663422329,0.00018135176663422329
270.7,0.0001813313202045293,-0.0,0.0001813313202045293,0.00018132790439135372,0.00018132790439135372
270.72,0.0001813067889647489,-0.0,0.0001813067889647489,0.00018130381830207162,0.00018130381830207162
270.74,0.00018128188827133782,-0.0,0.00018128188827133782,0.00018127952639765307,0.00018127952639765307
270.76,0.00018125687980396463,-0.0,0.00018125687980396463,0.0001812550520483246,0.0001812550520483246
270.78,0.00018123183678829205,-0.0,0.00018123183678829205,0.00018123042176655186,0.00018123042176655186
270.8,0.000181206715674407,-0.0,0.000181206715674407,0.00018120566322906264,0.00018120566322906264
270.82,0.00018118147867957128,-0.0,0.00018118147867957128,0.00018118080356026477,0.00018118080356026477
270.84,0.00018115616800436587,-0.0,0.00018115616800436587,0.00018115586790211336,0.00018115586790211336
270.86,0.00018113084179010919,-0.0,0.00018113084179010919,0.0001811308782966561,0.0001811308782966561
270.88,0.00018110554935591678,-0.0,0.00018110554935591678,0.00018110585291291747,0.00018110585291291747
270.9,0.00018108037903606447,-0.0,0.00018108037903606447,0.0001810808056472908,0.0001810808056472908
270.92,0.00018105538469354165,-0.0,0.00018105538469354165,0.00018105574610957422,0.00018105574610957422
270.94,0.00018103049832199382,-0.0,0.00018103049832199382,0.00018103067997510508,0.00018103067997510508
270.96,0.00018100563759990354,-0.0,0.00018100563759990354,0.00018100560964323285,0.00018100560964323285
270.98,0.00018098075828178455,-0.0,0.00018098075828178455,0.0001809805351038381,0.0001809805351038381
271.0,0.0001809558007636017,-0.0,0.0001809558007636017,0.00018095545488779134,0.00018095545488779134
271.02,0.00018093072322855277,-0.0,0.00018093072322855277,0.00018093036697227558,0.00018093036697227558
271.04,0.0001809055673618856,-0.0,0.0001809055673618856,0.00018090526953010294,0.00018090526953010294
